GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME,BTTRA,AMAXE001,AMAXE002,AMAXE003,AMAXE004,AMAXE005,AMAXE006,AMAXE007,AMAXE008,AMAXE009,AMAXE010,AMAXE011,AMAXE012,AMAXE013,AMAXE014,AMAXE015,AMAXE016,AMAXE017,AMAXE018,AMAXE019,AMAXE020,AMAXE021,AMAXE022,AMAXE023,AMAXE024,AMAXE025,AMAXE026,AMAXE027,AMAXE028,AMAXE029,AMAXE030,AMAXE031,AMAXE032,AMAXE033,AMAXE034,AMAXE035,AMAXE036,AMAXE037,AMAXE038,AMAXE039,AMAXE040,AMAXE041,AMAXE042,AMAXE043,AMAXE044,AMAXE045,AMAXE046,AMAXE047,AMAXE048,AMAXE049,AMAXE050,AMAXE051,AMAXE052,AMAXE053,AMAXE054,AMAXE055,AMAXE056,AMAXE057
"G1901430","2015-2019","IA",,,"Iowa","19","Osceola County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19143","Osceola County, Iowa",,5844,2923,625,50,197,213,114,21,2,0,28,60,0,9,23,3,11,14,0,0,2238,17,3,4,3,26,135,326,1724,2921,585,28,132,192,126,29,42,4,32,78,11,20,16,0,7,10,11,3,2258,47,0,0,0,15,74,249,1873
"G1901450","2015-2019","IA",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19145","Page County, Iowa",,14847,7806,1522,66,342,474,350,122,98,35,35,117,24,35,28,14,0,0,16,0,6167,101,7,0,4,23,391,958,4683,7041,1268,36,339,339,219,48,96,67,124,145,15,24,23,24,2,33,24,0,5628,120,38,2,0,72,203,665,4528
"G1901470","2015-2019","IA",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19147","Palo Alto County, Iowa",,8689,4316,968,32,278,266,177,113,75,0,27,108,17,27,9,0,5,17,24,9,3240,127,6,6,4,4,194,474,2425,4373,973,70,226,316,142,48,71,36,64,155,25,50,10,0,35,21,6,8,3245,21,7,0,0,4,141,424,2648
"G1901490","2015-2019","IA",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19149","Plymouth County, Iowa",,24225,11887,2574,135,647,879,490,153,105,98,67,457,45,189,142,48,8,12,3,10,8856,175,24,2,3,160,562,1121,6809,12338,2417,98,567,705,443,166,281,93,64,604,97,194,130,85,34,14,28,22,9317,156,47,11,103,94,401,1149,7356
"G1901510","2015-2019","IA",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19151","Pocahontas County, Iowa",,6595,3216,504,15,121,183,132,5,30,0,18,116,2,73,28,10,0,0,3,0,2596,58,2,0,0,5,201,329,2001,3379,522,42,153,159,99,16,13,18,22,126,8,81,30,5,0,0,0,2,2731,34,2,2,24,2,183,285,2199
"G1901530","2015-2019","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",,459188,225739,50844,2427,14668,15199,8472,2844,3066,2338,1830,9699,878,1580,1616,880,1120,1690,1068,867,165196,3679,691,264,226,1726,10277,34118,114215,233449,49141,1661,14108,14351,8536,2700,3820,2158,1807,11918,996,1937,1544,601,1484,2336,1844,1176,172390,4184,493,160,253,1480,9209,33074,123537
"G1901550","2015-2019","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",,89964,44232,10193,330,2977,2992,1711,971,705,217,290,1028,134,222,278,93,19,98,101,83,33011,592,109,35,74,403,2074,5124,24600,45732,9982,293,2600,2779,1653,912,762,438,545,1280,104,205,217,140,10,163,234,207,34470,795,111,70,48,230,1857,4910,26449
"G1901570","2015-2019","IA",,,"Iowa","19","Poweshiek County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19157","Poweshiek County, Iowa",,17845,8622,1537,52,455,518,308,91,57,38,18,696,21,26,12,23,262,309,15,28,6389,150,4,0,0,154,471,806,4804,9223,1417,82,409,478,271,46,42,54,35,1265,16,71,44,17,561,440,33,83,6541,35,12,28,21,47,279,923,5196
"G1901590","2015-2019","IA",,,"Iowa","19","Ringgold County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19159","Ringgold County, Iowa",,4807,2329,507,47,169,161,96,18,8,0,8,30,0,8,10,9,0,0,0,3,1792,29,4,3,0,35,107,239,1375,2478,569,44,147,166,109,46,20,19,18,50,0,4,2,6,0,9,18,11,1859,19,5,0,3,0,77,228,1527
"G1901610","2015-2019","IA",,,"Iowa","19","Sac County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19161","Sac County, Iowa",,9432,4673,929,44,267,311,172,78,38,10,9,57,0,12,8,14,8,6,0,9,3687,89,26,0,0,36,187,481,2868,4759,973,26,241,320,183,77,38,46,42,72,0,17,24,0,3,3,18,7,3714,51,12,1,0,13,186,386,3065
