GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME,BTTRA,BTBGA,ALW1E001
"G1900030","2015-2019","IA",,,"Iowa","19","Adams County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19003","Adams County, Iowa",,,49255
"G1900050","2015-2019","IA",,,"Iowa","19","Allamakee County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19005","Allamakee County, Iowa",,,52216
"G1900070","2015-2019","IA",,,"Iowa","19","Appanoose County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19007","Appanoose County, Iowa",,,40167
"G1900090","2015-2019","IA",,,"Iowa","19","Audubon County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19009","Audubon County, Iowa",,,52055
"G1900110","2015-2019","IA",,,"Iowa","19","Benton County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19011","Benton County, Iowa",,,67729
"G1900130","2015-2019","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",,,53539
"G1900150","2015-2019","IA",,,"Iowa","19","Boone County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19015","Boone County, Iowa",,,64000
"G1900170","2015-2019","IA",,,"Iowa","19","Bremer County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19017","Bremer County, Iowa",,,70395
"G1900190","2015-2019","IA",,,"Iowa","19","Buchanan County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19019","Buchanan County, Iowa",,,64837
"G1900210","2015-2019","IA",,,"Iowa","19","Buena Vista County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19021","Buena Vista County, Iowa",,,57125
"G1900230","2015-2019","IA",,,"Iowa","19","Butler County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19023","Butler County, Iowa",,,57115
"G1900250","2015-2019","IA",,,"Iowa","19","Calhoun County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19025","Calhoun County, Iowa",,,52323
"G1900270","2015-2019","IA",,,"Iowa","19","Carroll County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19027","Carroll County, Iowa",,,59212
"G1900290","2015-2019","IA",,,"Iowa","19","Cass County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19029","Cass County, Iowa",,,50187
"G1900310","2015-2019","IA",,,"Iowa","19","Cedar County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19031","Cedar County, Iowa",,,67795
"G1900330","2015-2019","IA",,,"Iowa","19","Cerro Gordo County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19033","Cerro Gordo County, Iowa",,,53963
"G1900350","2015-2019","IA",,,"Iowa","19","Cherokee County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19035","Cherokee County, Iowa",,,56550
"G1900370","2015-2019","IA",,,"Iowa","19","Chickasaw County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19037","Chickasaw County, Iowa",,,60034
"G1900390","2015-2019","IA",,,"Iowa","19","Clarke County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19039","Clarke County, Iowa",,,54427
"G1900410","2015-2019","IA",,,"Iowa","19","Clay County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19041","Clay County, Iowa",,,50521
"G1900430","2015-2019","IA",,,"Iowa","19","Clayton County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19043","Clayton County, Iowa",,,53152
"G1900450","2015-2019","IA",,,"Iowa","19","Clinton County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19045","Clinton County, Iowa",,,51688
"G1900470","2015-2019","IA",,,"Iowa","19","Crawford County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19047","Crawford County, Iowa",,,55755
