GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME,BTTRA,BTBGA,ALW1E001
"G1901170","2015-2019","IA",,,"Iowa","19","Lucas County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19117","Lucas County, Iowa",,,55205
"G1901190","2015-2019","IA",,,"Iowa","19","Lyon County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19119","Lyon County, Iowa",,,64982
"G1901210","2015-2019","IA",,,"Iowa","19","Madison County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19121","Madison County, Iowa",,,66316
"G1901230","2015-2019","IA",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19123","Mahaska County, Iowa",,,54825
"G1901250","2015-2019","IA",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19125","Marion County, Iowa",,,61038
"G1901270","2015-2019","IA",,,"Iowa","19","Marshall County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19127","Marshall County, Iowa",,,56437
"G1901290","2015-2019","IA",,,"Iowa","19","Mills County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19129","Mills County, Iowa",,,72079
"G1901310","2015-2019","IA",,,"Iowa","19","Mitchell County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19131","Mitchell County, Iowa",,,58302
"G1901330","2015-2019","IA",,,"Iowa","19","Monona County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19133","Monona County, Iowa",,,47605
"G1901350","2015-2019","IA",,,"Iowa","19","Monroe County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19135","Monroe County, Iowa",,,58269
"G1901370","2015-2019","IA",,,"Iowa","19","Montgomery County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19137","Montgomery County, Iowa",,,51696
"G1901390","2015-2019","IA",,,"Iowa","19","Muscatine County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19139","Muscatine County, Iowa",,,58453
"G1901410","2015-2019","IA",,,"Iowa","19","O'Brien County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19141","O'Brien County, Iowa",,,53703
"G1901430","2015-2019","IA",,,"Iowa","19","Osceola County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19143","Osceola County, Iowa",,,59725
"G1901450","2015-2019","IA",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19145","Page County, Iowa",,,51867
"G1901470","2015-2019","IA",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19147","Palo Alto County, Iowa",,,52932
"G1901490","2015-2019","IA",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19149","Plymouth County, Iowa",,,67297
"G1901510","2015-2019","IA",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19151","Pocahontas County, Iowa",,,52448
"G1901530","2015-2019","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",,,67637
"G1901550","2015-2019","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",,,60065
"G1901570","2015-2019","IA",,,"Iowa","19","Poweshiek County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19157","Poweshiek County, Iowa",,,53852
"G1901590","2015-2019","IA",,,"Iowa","19","Ringgold County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19159","Ringgold County, Iowa",,,55271
"G1901610","2015-2019","IA",,,"Iowa","19","Sac County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19161","Sac County, Iowa",,,58232
"G1901630","2015-2019","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",,,61183
"G1901650","2015-2019","IA",,,"Iowa","19","Shelby County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19165","Shelby County, Iowa",,,58000
"G1901670","2015-2019","IA",,,"Iowa","19","Sioux County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19167","Sioux County, Iowa",,,69844
"G1901690","2015-2019","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",,,56756
