GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ABDJE001,ABDJE002,ABDJE003,ABDJE004,ABDJE005,ABDJE006,ABDJE007,ABDJE008,NAME_M,ABDJM001,ABDJM002,ABDJM003,ABDJM004,ABDJM005,ABDJM006,ABDJM007,ABDJM008
"G1801050","2010-2014","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18105",,,"Monroe County, Indiana",126552,20542,10984,5488,6268,8609,2928,71733,"Monroe County, Indiana",855,1211,931,793,781,1054,498,1712
"G1801070","2010-2014","IN",,,"Indiana","18","Montgomery County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18107",,,"Montgomery County, Indiana",36481,2735,2760,1564,2386,3173,1477,22386,"Montgomery County, Indiana",261,619,686,535,639,574,360,1120
"G1801090","2010-2014","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18109",,,"Morgan County, Indiana",68360,3433,4712,2740,2721,4732,2250,47772,"Morgan County, Indiana",248,677,739,516,465,887,692,1378
"G1801110","2010-2014","IN",,,"Indiana","18","Newton County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18111",,,"Newton County, Indiana",13909,882,769,1141,896,787,531,8903,"Newton County, Indiana",97,267,227,329,351,290,174,528
"G1801130","2010-2014","IN",,,"Indiana","18","Noble County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18113",,,"Noble County, Indiana",46446,2977,2953,2264,2960,4147,1389,29756,"Noble County, Indiana",191,702,622,470,611,748,348,992
"G1801150","2010-2014","IN",,,"Indiana","18","Ohio County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18115",,,"Ohio County, Indiana",5934,203,300,320,252,439,231,4189,"Ohio County, Indiana",86,76,75,108,143,162,110,278
"G1801170","2010-2014","IN",,,"Indiana","18","Orange County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18117",,,"Orange County, Indiana",19284,1489,2059,1337,1332,2065,844,10158,"Orange County, Indiana",179,421,411,362,345,618,284,812
"G1801190","2010-2014","IN",,,"Indiana","18","Owen County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18119",,,"Owen County, Indiana",20978,1298,1812,1032,1336,2048,455,12997,"Owen County, Indiana",108,315,410,294,341,401,132,585
"G1801210","2010-2014","IN",,,"Indiana","18","Parke County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18121",,,"Parke County, Indiana",15638,852,1503,1040,1526,1570,457,8690,"Parke County, Indiana",224,263,436,346,510,327,236,632
"G1801230","2010-2014","IN",,,"Indiana","18","Perry County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18123",,,"Perry County, Indiana",17646,728,1513,913,912,1531,487,11562,"Perry County, Indiana",322,215,311,297,274,377,239,572
"G1801250","2010-2014","IN",,,"Indiana","18","Pike County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18125",,,"Pike County, Indiana",12486,593,865,693,645,814,313,8563,"Pike County, Indiana",100,163,255,210,195,204,129,417
"G1801270","2010-2014","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18127",,,"Porter County, Indiana",162110,9523,8901,4751,5641,8043,3406,121845,"Porter County, Indiana",473,1293,1172,891,962,1130,675,2276
"G1801290","2010-2014","IN",,,"Indiana","18","Posey County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18129",,,"Posey County, Indiana",25370,1540,1339,532,753,1481,359,19366,"Posey County, Indiana",92,434,369,184,218,333,152,716
"G1801310","2010-2014","IN",,,"Indiana","18","Pulaski County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18131",,,"Pulaski County, Indiana",12833,940,876,723,866,1130,304,7994,"Pulaski County, Indiana",130,311,276,204,262,332,133,471
"G1801330","2010-2014","IN",,,"Indiana","18","Putnam County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18133",,,"Putnam County, Indiana",32059,1346,1684,1199,1775,1996,1096,22963,"Putnam County, Indiana",728,338,486,322,470,581,393,869
"G1801350","2010-2014","IN",,,"Indiana","18","Randolph County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18135",,,"Randolph County, Indiana",25339,2099,2167,1647,1920,2463,997,14046,"Randolph County, Indiana",134,402,500,447,434,407,307,669
"G1801370","2010-2014","IN",,,"Indiana","18","Ripley County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18137",,,"Ripley County, Indiana",28097,967,1405,1039,2139,2361,910,19276,"Ripley County, Indiana",139,319,298,251,442,400,365,751
"G1801390","2010-2014","IN",,,"Indiana","18","Rush County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18139",,,"Rush County, Indiana",16875,1324,1325,861,991,1306,604,10464,"Rush County, Indiana",113,367,288,283,387,297,285,574
"G1801410","2010-2014","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18141",,,"St. Joseph County, Indiana",254923,21419,23522,12344,13529,19556,7234,157319,"St. Joseph County, Indiana",690,1410,1651,1376,1016,1467,798,2447
"G1801430","2010-2014","IN",,,"Indiana","18","Scott County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18143",,,"Scott County, Indiana",23425,1707,2903,1055,1286,1782,666,14026,"Scott County, Indiana",114,479,565,382,357,454,379,900
"G1801450","2010-2014","IN",,,"Indiana","18","Shelby County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18145",,,"Shelby County, Indiana",43546,2761,2555,1900,2651,3408,1333,28938,"Shelby County, Indiana",223,548,540,455,568,595,414,1269
"G1801470","2010-2014","IN",,,"Indiana","18","Spencer County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18147",,,"Spencer County, Indiana",20554,1143,1281,549,1035,1305,500,14741,"Spencer County, Indiana",129,317,310,217,290,309,192,614
"G1801490","2010-2014","IN",,,"Indiana","18","Starke County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18149",,,"Starke County, Indiana",23096,1879,2316,1293,1692,2408,773,12735,"Starke County, Indiana",70,395,496,335,391,475,237,809
"G1801510","2010-2014","IN",,,"Indiana","18","Steuben County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18151",,,"Steuben County, Indiana",32736,1847,1856,1202,2260,2998,970,21603,"Steuben County, Indiana",210,361,433,304,565,543,290,842
"G1801530","2010-2014","IN",,,"Indiana","18","Sullivan County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18153",,,"Sullivan County, Indiana",19012,1150,2334,1294,1056,1086,281,11811,"Sullivan County, Indiana",550,313,507,365,271,310,111,680
"G1801550","2010-2014","IN",,,"Indiana","18","Switzerland County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18155",,,"Switzerland County, Indiana",10366,701,1396,761,663,827,238,5780,"Switzerland County, Indiana",105,295,417,263,278,276,136,540
"G1801570","2010-2014","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18157",,,"Tippecanoe County, Indiana",164040,19999,16459,8197,7227,13034,4408,94716,"Tippecanoe County, Indiana",954,1490,1512,1127,1014,1217,870,2218
"G1801590","2010-2014","IN",,,"Indiana","18","Tipton County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18159",,,"Tipton County, Indiana",15484,688,771,604,539,882,677,11323,"Tipton County, Indiana",74,314,258,255,196,222,352,554
"G1801610","2010-2014","IN",,,"Indiana","18","Union County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18161",,,"Union County, Indiana",7290,333,444,488,347,598,263,4817,"Union County, Indiana",70,139,182,175,129,187,125,319
"G1801630","2010-2014","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18163",,,"Vanderburgh County, Indiana",173822,14644,13483,9613,9007,13161,5322,108592,"Vanderburgh County, Indiana",647,1370,1372,1213,1118,1321,845,2017
"G1801650","2010-2014","IN",,,"Indiana","18","Vermillion County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18165",,,"Vermillion County, Indiana",15594,898,1088,539,699,1890,631,9849,"Vermillion County, Indiana",157,274,231,135,168,430,211,592
"G1801670","2010-2014","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18167",,,"Vigo County, Indiana",98788,8672,10894,5909,6188,7137,3037,56951,"Vigo County, Indiana",675,898,985,747,930,889,604,1551
"G1801690","2010-2014","IN",,,"Indiana","18","Wabash County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18169",,,"Wabash County, Indiana",30562,2018,2549,1467,1639,2451,1205,19233,"Wabash County, Indiana",303,425,491,421,365,478,297,865
"G1801710","2010-2014","IN",,,"Indiana","18","Warren County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18171",,,"Warren County, Indiana",8262,179,389,307,231,780,93,6283,"Warren County, Indiana",61,75,175,106,105,229,59,302
"G1801730","2010-2014","IN",,,"Indiana","18","Warrick County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18173",,,"Warrick County, Indiana",59254,1797,3631,1634,2143,2633,1331,46085,"Warrick County, Indiana",365,440,758,440,588,499,493,1138
"G1801750","2010-2014","IN",,,"Indiana","18","Washington County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18175",,,"Washington County, Indiana",27534,1970,2221,1414,2161,2496,728,16544,"Washington County, Indiana",213,471,496,387,486,618,234,957
"G1801770","2010-2014","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18177",,,"Wayne County, Indiana",65750,6487,7375,3497,4246,5412,1429,37304,"Wayne County, Indiana",278,802,939,520,693,687,330,1218
"G1801790","2010-2014","IN",,,"Indiana","18","Wells County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18179",,,"Wells County, Indiana",27093,922,2143,1355,1046,2093,1241,18293,"Wells County, Indiana",163,259,477,308,319,436,343,813
"G1801810","2010-2014","IN",,,"Indiana","18","White County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18181",,,"White County, Indiana",24096,998,1668,917,1137,1754,482,17140,"White County, Indiana",117,351,350,241,252,427,161,626
"G1801830","2010-2014","IN",,,"Indiana","18","Whitley County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18183",,,"Whitley County, Indiana",32762,736,2176,1773,900,1818,1018,24341,"Whitley County, Indiana",171,196,500,606,314,379,408,1029
"G1900010","2010-2014","IA",,,"Iowa","19","Adair County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19001",,,"Adair County, Iowa",7302,269,362,292,276,666,255,5182,"Adair County, Iowa",104,118,87,85,92,157,97,246
"G1900030","2010-2014","IA",,,"Iowa","19","Adams County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19003",,,"Adams County, Iowa",3862,165,258,149,186,334,169,2601,"Adams County, Iowa",55,64,81,49,82,102,72,160
"G1900050","2010-2014","IA",,,"Iowa","19","Allamakee County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19005",,,"Allamakee County, Iowa",13788,457,1145,688,818,1093,692,8895,"Allamakee County, Iowa",120,146,262,193,216,249,193,372
"G1900070","2010-2014","IA",,,"Iowa","19","Appanoose County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19007",,,"Appanoose County, Iowa",12587,844,926,917,680,970,574,7676,"Appanoose County, Iowa",94,230,240,236,188,200,176,448
"G1900090","2010-2014","IA",,,"Iowa","19","Audubon County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19009",,,"Audubon County, Iowa",5731,225,313,315,265,295,164,4154,"Audubon County, Iowa",118,97,99,88,59,82,72,191
"G1900110","2010-2014","IA",,,"Iowa","19","Benton County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19011",,,"Benton County, Iowa",25604,734,1484,876,839,1714,1040,18917,"Benton County, Iowa",100,250,290,292,222,485,321,655
"G1900130","2010-2014","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19013",,,"Black Hawk County, Iowa",125997,9616,11303,6107,5414,8836,3193,81528,"Black Hawk County, Iowa",835,1006,1243,822,788,796,543,1669
"G1900150","2010-2014","IA",,,"Iowa","19","Boone County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19015",,,"Boone County, Iowa",25635,1027,1712,1484,1441,1827,525,17619,"Boone County, Iowa",192,289,422,476,449,410,199,679
"G1900170","2010-2014","IA",,,"Iowa","19","Bremer County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19017",,,"Bremer County, Iowa",22801,751,1061,731,657,1120,508,17973,"Bremer County, Iowa",278,241,215,176,181,270,149,469
"G1900190","2010-2014","IA",,,"Iowa","19","Buchanan County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19019",,,"Buchanan County, Iowa",20645,518,1342,801,642,1269,369,15704,"Buchanan County, Iowa",141,177,309,398,171,229,126,628
"G1900210","2010-2014","IA",,,"Iowa","19","Buena Vista County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19021",,,"Buena Vista County, Iowa",19326,922,1415,783,1155,2378,657,12016,"Buena Vista County, Iowa",249,269,327,216,386,622,238,697
"G1900230","2010-2014","IA",,,"Iowa","19","Butler County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19023",,,"Butler County, Iowa",14692,429,927,339,577,1020,558,10842,"Butler County, Iowa",112,96,201,80,152,198,165,347
"G1900250","2010-2014","IA",,,"Iowa","19","Calhoun County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19025",,,"Calhoun County, Iowa",9383,654,725,526,414,630,200,6234,"Calhoun County, Iowa",112,157,138,130,117,114,67,264
"G1900270","2010-2014","IA",,,"Iowa","19","Carroll County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19027",,,"Carroll County, Iowa",20300,628,1313,926,755,1238,562,14878,"Carroll County, Iowa",151,180,247,309,168,298,205,472
"G1900290","2010-2014","IA",,,"Iowa","19","Cass County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19029",,,"Cass County, Iowa",13428,551,1244,745,797,898,360,8833,"Cass County, Iowa",110,194,301,185,241,259,135,439
"G1900310","2010-2014","IA",,,"Iowa","19","Cedar County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19031",,,"Cedar County, Iowa",18165,658,801,853,834,842,500,13677,"Cedar County, Iowa",123,238,195,273,271,237,210,553
"G1900330","2010-2014","IA",,,"Iowa","19","Cerro Gordo County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19033",,,"Cerro Gordo County, Iowa",42550,1995,3881,1767,2101,2819,1465,28522,"Cerro Gordo County, Iowa",326,431,618,434,471,495,391,1060
"G1900350","2010-2014","IA",,,"Iowa","19","Cherokee County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19035",,,"Cherokee County, Iowa",11559,446,654,578,526,727,300,8328,"Cherokee County, Iowa",204,171,174,193,178,248,133,429
"G1900370","2010-2014","IA",,,"Iowa","19","Chickasaw County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19037",,,"Chickasaw County, Iowa",12156,551,641,818,839,1019,556,7732,"Chickasaw County, Iowa",95,177,186,223,174,226,242,375
"G1900390","2010-2014","IA",,,"Iowa","19","Clarke County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19039",,,"Clarke County, Iowa",9012,642,959,493,582,530,279,5527,"Clarke County, Iowa",121,283,342,168,236,169,166,420
"G1900410","2010-2014","IA",,,"Iowa","19","Clay County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19041",,,"Clay County, Iowa",16125,488,1233,771,679,1390,236,11328,"Clay County, Iowa",187,194,335,220,250,443,123,593
"G1900430","2010-2014","IA",,,"Iowa","19","Clayton County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19043",,,"Clayton County, Iowa",17595,735,1314,800,939,1262,626,11919,"Clayton County, Iowa",80,188,271,184,213,304,172,383
"G1900450","2010-2014","IA",,,"Iowa","19","Clinton County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19045",,,"Clinton County, Iowa",47883,2113,4706,1775,2305,2729,1708,32547,"Clinton County, Iowa",196,478,597,373,408,459,505,964
"G1900470","2010-2014","IA",,,"Iowa","19","Crawford County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19047",,,"Crawford County, Iowa",16952,1549,1558,837,850,1395,385,10378,"Crawford County, Iowa",138,529,433,367,319,476,121,557
"G1900490","2010-2014","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19049",,,"Dallas County, Iowa",71621,2290,2710,1722,1604,3697,1509,58089,"Dallas County, Iowa",138,721,528,395,405,718,513,1160
"G1900510","2010-2014","IA",,,"Iowa","19","Davis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19051",,,"Davis County, Iowa",8620,566,1363,660,417,506,605,4503,"Davis County, Iowa",90,260,309,293,219,174,338,339
"G1900530","2010-2014","IA",,,"Iowa","19","Decatur County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19053",,,"Decatur County, Iowa",7545,408,1009,641,522,649,187,4129,"Decatur County, Iowa",191,120,187,202,120,163,82,293
"G1900550","2010-2014","IA",,,"Iowa","19","Delaware County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19055",,,"Delaware County, Iowa",17163,875,582,740,1159,1177,222,12408,"Delaware County, Iowa",180,364,170,388,389,277,105,675
"G1900570","2010-2014","IA",,,"Iowa","19","Des Moines County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19057",,,"Des Moines County, Iowa",39578,2462,3685,2428,2553,3216,1138,24096,"Des Moines County, Iowa",141,707,558,562,655,574,358,903
"G1900590","2010-2014","IA",,,"Iowa","19","Dickinson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19059",,,"Dickinson County, Iowa",16522,427,708,501,679,1034,553,12620,"Dickinson County, Iowa",106,139,295,126,191,283,186,459
"G1900610","2010-2014","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19061",,,"Dubuque County, Iowa",91209,4100,6397,3021,4040,5769,2058,65824,"Dubuque County, Iowa",447,571,786,505,682,628,515,1274
"G1900630","2010-2014","IA",,,"Iowa","19","Emmet County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19063",,,"Emmet County, Iowa",9418,443,659,450,451,786,253,6376,"Emmet County, Iowa",169,212,260,177,168,238,116,452
"G1900650","2010-2014","IA",,,"Iowa","19","Fayette County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19065",,,"Fayette County, Iowa",19907,1059,1499,905,1014,1354,796,13280,"Fayette County, Iowa",239,236,316,191,194,237,163,436
"G1900670","2010-2014","IA",,,"Iowa","19","Floyd County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19067",,,"Floyd County, Iowa",15881,829,1341,934,1149,1277,427,9924,"Floyd County, Iowa",107,275,387,294,374,459,208,580
"G1900690","2010-2014","IA",,,"Iowa","19","Franklin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19069",,,"Franklin County, Iowa",10426,687,753,309,919,728,283,6747,"Franklin County, Iowa",80,243,226,90,265,224,99,357
"G1900710","2010-2014","IA",,,"Iowa","19","Fremont County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19071",,,"Fremont County, Iowa",7011,281,443,345,373,525,121,4923,"Fremont County, Iowa",103,79,102,89,103,115,52,204
"G1900730","2010-2014","IA",,,"Iowa","19","Greene County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19073",,,"Greene County, Iowa",9061,431,780,463,451,669,290,5977,"Greene County, Iowa",87,130,208,164,150,201,172,379
"G1900750","2010-2014","IA",,,"Iowa","19","Grundy County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19075",,,"Grundy County, Iowa",12212,331,520,363,459,798,283,9458,"Grundy County, Iowa",84,147,133,113,102,222,103,299
"G1900770","2010-2014","IA",,,"Iowa","19","Guthrie County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19077",,,"Guthrie County, Iowa",10590,420,790,492,484,717,297,7390,"Guthrie County, Iowa",126,112,170,140,150,176,99,289
"G1900790","2010-2014","IA",,,"Iowa","19","Hamilton County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19079",,,"Hamilton County, Iowa",15098,885,923,722,760,1482,567,9759,"Hamilton County, Iowa",124,311,311,212,223,384,321,566
"G1900810","2010-2014","IA",,,"Iowa","19","Hancock County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19081",,,"Hancock County, Iowa",10992,415,553,344,587,773,458,7862,"Hancock County, Iowa",63,103,182,108,142,221,221,433
"G1900830","2010-2014","IA",,,"Iowa","19","Hardin County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19083",,,"Hardin County, Iowa",16525,547,999,655,1090,1277,368,11589,"Hardin County, Iowa",222,144,245,148,327,267,135,535
"G1900850","2010-2014","IA",,,"Iowa","19","Harrison County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19085",,,"Harrison County, Iowa",14289,477,894,555,734,1128,626,9875,"Harrison County, Iowa",130,111,180,137,222,219,191,374
"G1900870","2010-2014","IA",,,"Iowa","19","Henry County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19087",,,"Henry County, Iowa",18864,1116,1935,603,1034,1293,339,12544,"Henry County, Iowa",221,366,482,158,259,332,100,596
"G1900890","2010-2014","IA",,,"Iowa","19","Howard County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19089",,,"Howard County, Iowa",9319,335,825,532,540,620,450,6017,"Howard County, Iowa",94,133,262,227,186,208,165,381
"G1900910","2010-2014","IA",,,"Iowa","19","Humboldt County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19091",,,"Humboldt County, Iowa",9539,352,771,627,635,629,295,6230,"Humboldt County, Iowa",120,164,222,195,170,163,93,314
"G1900930","2010-2014","IA",,,"Iowa","19","Ida County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19093",,,"Ida County, Iowa",6899,364,592,236,444,684,222,4357,"Ida County, Iowa",95,92,200,153,117,177,85,270
"G1900950","2010-2014","IA",,,"Iowa","19","Iowa County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19095",,,"Iowa County, Iowa",15997,506,1050,517,618,895,267,12144,"Iowa County, Iowa",122,184,311,165,184,287,108,441
"G1900970","2010-2014","IA",,,"Iowa","19","Jackson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19097",,,"Jackson County, Iowa",19440,976,1184,762,1664,1256,479,13119,"Jackson County, Iowa",67,216,217,304,436,325,121,559
"G1900990","2010-2014","IA",,,"Iowa","19","Jasper County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19099",,,"Jasper County, Iowa",34617,1292,2634,1629,1477,2192,933,24460,"Jasper County, Iowa",352,300,568,533,368,416,246,785
"G1901010","2010-2014","IA",,,"Iowa","19","Jefferson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19101",,,"Jefferson County, Iowa",15305,1311,828,1023,833,888,450,9972,"Jefferson County, Iowa",536,391,208,311,260,270,174,712
"G1901030","2010-2014","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19103",,,"Johnson County, Iowa",128680,14097,8636,4813,4384,6410,2508,87832,"Johnson County, Iowa",609,1195,762,837,801,902,612,1618
"G1901050","2010-2014","IA",,,"Iowa","19","Jones County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19105",,,"Jones County, Iowa",19203,827,1119,758,701,1425,385,13988,"Jones County, Iowa",481,234,289,197,259,364,187,559
"G1901070","2010-2014","IA",,,"Iowa","19","Keokuk County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19107",,,"Keokuk County, Iowa",10172,409,910,557,464,732,337,6763,"Keokuk County, Iowa",71,106,203,165,107,177,111,287
"G1901090","2010-2014","IA",,,"Iowa","19","Kossuth County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19109",,,"Kossuth County, Iowa",15060,594,699,610,605,1042,515,10995,"Kossuth County, Iowa",86,229,187,137,111,236,185,376
"G1901110","2010-2014","IA",,,"Iowa","19","Lee County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19111",,,"Lee County, Iowa",34741,2648,2968,1485,1593,2842,1200,22005,"Lee County, Iowa",270,622,500,314,301,500,295,975
"G1901130","2010-2014","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19113",,,"Linn County, Iowa",209770,8873,11132,7349,8718,10167,4409,159122,"Linn County, Iowa",471,871,1112,948,1121,1176,677,2022
"G1901150","2010-2014","IA",,,"Iowa","19","Louisa County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19115",,,"Louisa County, Iowa",11140,577,752,289,714,859,423,7526,"Louisa County, Iowa",88,178,188,113,207,207,129,364
"G1901170","2010-2014","IA",,,"Iowa","19","Lucas County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19117",,,"Lucas County, Iowa",8641,661,684,397,630,460,382,5427,"Lucas County, Iowa",71,212,191,139,213,113,179,368
"G1901190","2010-2014","IA",,,"Iowa","19","Lyon County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19119",,,"Lyon County, Iowa",11509,314,594,517,388,640,427,8629,"Lyon County, Iowa",65,103,167,223,124,135,137,352
"G1901210","2010-2014","IA",,,"Iowa","19","Madison County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19121",,,"Madison County, Iowa",15399,539,794,365,1101,1366,511,10723,"Madison County, Iowa",109,167,286,136,454,394,201,494
"G1901230","2010-2014","IA",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19123",,,"Mahaska County, Iowa",21699,1446,1713,905,1093,1573,698,14271,"Mahaska County, Iowa",243,303,346,239,294,313,318,669
"G1901250","2010-2014","IA",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19125",,,"Marion County, Iowa",31641,1465,1575,1165,1233,1526,722,23955,"Marion County, Iowa",393,290,414,323,331,340,218,682
